run,condition,label,mean_reward,std_reward,mean_compromised,std_compromised,mean_steps,std_steps,mean_ttfc,std_ttfc
2,no_defender,No Defender,244.528,79.6074,2.754,0.6591,200.0,0.0,36.57,28.88
2,centralised,Centralised Defender,240.952,85.3635,1.832,0.7244,200.0,0.0,40.92,36.39
2,decentralised_nocomms,Decentralised (no alerts),240.416,85.3948,1.874,0.7261,200.0,0.0,39.86,37.24
2,decentralised_cooperative,Decentralised (cooperative),245.29,83.3569,1.868,0.7291,200.0,0.0,39.03,34.64
2,decentralised_competitive,Decentralised (competitive),241.554,78.6307,1.888,0.696,200.0,0.0,43.9,38.55
2,rl_defender,RL Defender (DQN),199.422,75.3396,1.498,0.6056,200.0,0.0,52.26,46.05
